,text,external_id,error,classifications,error_detail
87,don miss it unstoppabletrac will be our guest speaker at our june hilliardpride google ss hangout at am ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.896}]",
88,is anyone used to not feeling super awkward on zoom google hangout etc by now ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.81}]",
89,talking to my coworkers on google hangout and professed to them my hunger games tumblr era and one of them asked ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.505}]",
90,the moment you realize and remember every poster you made is backwards for your last google hangout of the school ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.658}]",
91, demarcodepolo mean google hangout skype,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.832}]",
92, arianagrande someone come and crash my school meeting at pm in google hangout live in jamaica so be on ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.578}]",
93,hey georgelopez down to hang with the boys tomorrow evening cst ll send you the google hangout link later,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.607}]",
94,someone come crash my school google meet on hangout plsss its at ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.692}]",
95, mrsmjohnson_eng english honors final google hangout video good bye it was the perfect way to start each day with these wonderfu ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.996}]",
96, english honors final google hangout video good bye it was the perfect way to start each day with these wonde ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.978}]",
97,thespians see you on our virtual hangout in minutes google meet link will be on the thespian classroom soon ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.825}]",
98, getting ready for the amp wedding in our jk google hangout on outdoor classroom day the jk students are dressin ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.889}]",
99, sarahjamielewis one thing have noticed at my work is the amount of socializing that happens in the office drops ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.677}]",
100, gtcost reuters google limited hangout ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.522}]",
101,jacob drew flamingo with his class today during their google hangout megs_ostrander willowvillee westcler ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.615}]",
102,it is special kind of panic when you burp during google hangout and suddenly become unsure if you re muted or not,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.614}]",
103, the_real_coach are you free this weekend at all google hangout for little ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.749}]",
104, artgerm google hangout with friends and sketching while doing my social distancing think will end up with quite stack of sketch ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.724}]",
105,had our last google hangout of the year will truly miss my students it not goodbye it a see you later ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.783}]",
106, english honors final google hangout video good bye this was an amazing class that made each day memorable ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.994}]",
107, madebygoogle can you make link that opens new hangout like https co nfyllz gr ,,False,"[{'tag_name': 'Neutral', 'tag_id': 122921384, 'confidence': 0.706}]",
108, dlcmsnoun please am having difficulty joining the meeting via zoom for the gst enterprise idea presentation ,,False,"[{'tag_name': 'Negative', 'tag_id': 122921385, 'confidence': 0.494}]",
109, corporatecake absolutely they also be able to phone and email the issue is only virtual office hours which at ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.382}]",
110,google hangout meeting mrs nelson read picnic story while we enjoyed snack with our teddy bears ms mary ann ,,False,"[{'tag_name': 'Positive', 'tag_id': 122921383, 'confidence': 0.859}]",
